INST_0_0,BAG_0,1,0.56,0.35,0.8,1.0,0.91,0.73,0.3,0.85,0.53,0.34
INST_1_0,BAG_0,1,0.77,0.27,0.47,0.8,0.94,0.58,0.17,0.42,0.96,0.92
INST_0_1,BAG_1,1,0.36,0.23,0.18,0.28,0.6,0.32,0.25,0.83,0.26,0.32
INST_1_1,BAG_1,1,0.26,0.14,0.5,0.08,0.63,0.75,0.32,0.14,0.41,0.29
INST_0_2,BAG_2,1,0.54,0.23,0.61,0.1,0.03,0.33,0.31,0.48,0.47,0.27
INST_1_2,BAG_2,1,0.79,0.13,0.19,0.02,0.24,0.07,0.03,0.83,0.28,0.64
INST_0_3,BAG_3,1,0.56,0.55,0.21,0.56,0.49,0.9,0.35,0.4,0.54,0.38
INST_1_3,BAG_3,1,0.75,0.77,0.13,0.75,0.55,0.27,0.82,0.12,0.81,0.95
INST_0_4,BAG_4,1,0.23,0.56,0.52,0.38,0.29,0.82,0.68,0.49,0.84,0.23
INST_1_4,BAG_4,1,0.84,0.78,0.99,0.25,0.29,0.31,0.85,0.58,0.46,0.42
INST_0_5,BAG_5,1,0.55,0.56,0.22,0.02,0.38,0.73,0.82,0.01,0.43,0.65
INST_1_5,BAG_5,1,0.75,0.75,0.8,0.73,0.2,0.22,0.49,0.15,0.53,0.28
INST_0_6,BAG_6,1,0.22,0.22,0.78,0.22,0.9,0.26,0.39,0.95,0.03,0.06
INST_1_6,BAG_6,1,0.11,0.8,0.92,0.7,0.84,0.44,0.98,0.86,0.53,0.68
INST_0_7,BAG_7,1,0.54,0.56,0.29,0.76,0.36,0.67,0.52,0.17,0.74,0.04
INST_1_7,BAG_7,1,0.77,0.76,0.53,0.18,0.02,0.81,0.68,0.73,0.18,0.58
INST_0_8,BAG_8,1,0.22,0.65,0.83,0.15,0.19,0.76,0.19,0.25,0.46,0.08
INST_1_8,BAG_8,1,0.1,0.67,0.36,0.19,0.7,0.38,0.89,0.97,0.7,0.4
INST_0_9,BAG_9,1,0.22,0.12,0.36,0.4,0.93,0.84,0.92,0.93,0.56,0.89
